id;id_grado_ofertado;año;convocatoria;grupo;nota
168;212;2025;ordinaria;4;5.0
169;212;2025;ordinaria;5;5.0
170;185;2025;ordinaria;4;5.0
171;288;2025;ordinaria;3;5.0
172;288;2025;ordinaria;4;5.0
173;288;2025;ordinaria;5;5.0
174;185;2025;ordinaria;3;5.0
175;185;2025;ordinaria;5;5.0
176;206;2025;ordinaria;1;5.0
177;206;2025;ordinaria;2;5.0
178;206;2025;ordinaria;3;5.0
179;206;2025;ordinaria;4;5.0
180;206;2025;ordinaria;5;5.0
181;275;2025;ordinaria;5;5.0
182;275;2025;ordinaria;4;5.0
183;275;2025;ordinaria;3;5.0
184;205;2025;ordinaria;3;5.0
185;205;2025;ordinaria;4;5.0
186;205;2025;ordinaria;5;5.0
187;284;2025;ordinaria;1;5.0
188;284;2025;ordinaria;2;5.0
189;284;2025;ordinaria;3;5.0
190;284;2025;ordinaria;4;5.0
191;284;2025;ordinaria;5;5.0
192;11;2025;ordinaria;1;5.0
193;253;2025;ordinaria;3;5.0
194;62;2025;ordinaria;1;5.0
195;62;2025;ordinaria;2;5.0
196;62;2025;ordinaria;3;5.0
197;62;2025;ordinaria;4;5.0
198;62;2025;ordinaria;5;5.0
199;60;2025;ordinaria;4;5.0
200;61;2025;ordinaria;1;5.0
201;61;2025;ordinaria;2;5.0
202;61;2025;ordinaria;3;5.0
203;61;2025;ordinaria;4;5.0
204;61;2025;ordinaria;5;5.0
205;60;2025;ordinaria;5;5.0
206;60;2025;ordinaria;3;5.0
207;74;2025;ordinaria;3;5.0
208;78;2025;ordinaria;3;5.0
209;78;2025;ordinaria;4;5.0
210;78;2025;ordinaria;5;5.0
211;15;2025;ordinaria;3;5.0
212;15;2025;ordinaria;4;5.0
213;15;2025;ordinaria;5;5.0
214;74;2025;ordinaria;1;5.0
215;74;2025;ordinaria;2;5.0
216;74;2025;ordinaria;4;5.0
217;60;2025;ordinaria;2;5.0
218;74;2025;ordinaria;5;5.0
219;16;2025;ordinaria;3;5.0
220;16;2025;ordinaria;4;5.0
221;16;2025;ordinaria;5;5.0
222;17;2025;ordinaria;3;5.0
223;17;2025;ordinaria;4;5.0
224;17;2025;ordinaria;5;5.0
225;60;2025;ordinaria;1;5.0
226;73;2025;ordinaria;3;5.0
227;73;2025;ordinaria;4;5.0
228;73;2025;ordinaria;5;5.0
229;65;2025;ordinaria;1;5.0
230;65;2025;ordinaria;2;5.0
231;65;2025;ordinaria;3;5.0
232;65;2025;ordinaria;4;5.0
233;65;2025;ordinaria;5;5.0
234;79;2025;ordinaria;1;5.0
235;79;2025;ordinaria;2;5.0
236;79;2025;ordinaria;3;5.0
237;79;2025;ordinaria;4;5.0
238;79;2025;ordinaria;5;5.0
239;80;2025;ordinaria;1;5.0
240;80;2025;ordinaria;2;5.0
241;80;2025;ordinaria;3;5.0
242;80;2025;ordinaria;4;5.0
243;80;2025;ordinaria;5;5.0
244;64;2025;ordinaria;1;5.0
245;64;2025;ordinaria;2;5.0
246;64;2025;ordinaria;3;5.0
