pdf_url,area
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/48_enfermeria_2023_24_indiv.pdf,enfermeria
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/49_farmacia_2023_24_indiv.pdf,farmacia
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/50_fisioterapia_2023_24_indiv.pdf,fisioterapia
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/51_logopedia_2023_24_indiv.pdf,logopedia
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/52_medicina_2023_24_indiv.pdf,"la investigacion basica o aplica- da en universidades, organismos publicos y privados de investigacion y en empresas del ambito biotecnologico, biosanitario y farma- ceutico; en servicios cientificos de apoyo a la investigacion; y en el ambito de desarrollo y regulacion de ensayos clinicos en centros de investigacion biomedica, en hospitales o en oficinas de transferencia de conocimiento.area de medicina"
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/53_nutricion_humana_y_dietetica_2023_24_indiv.pdf,nutricion humana y dietetica
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/54_odontologia_2023_24_indiv.pdf,odontologia
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/55_optica_y_optometria_2023_24_indiv.pdf,optica
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/56_podologia_2023_24_indiv.pdf,podologia
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/57_psicologia_2023_24_indiv.pdf,psicologia
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/58_terapia_ocupacional_2023_24_indiv.pdf,terapia ocupacional
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/59_veterinaria_2023_24_indiv.pdf,veterinaria
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/60_arquitectura_2023_24_indiv.pdf,arquitectura
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/61_arq._naval_2023_24_indiv.pdf,arquitectura naval e ingenieria maritima
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/62_ing_fisica_2023_24_indiv.pdf,(no encontrado)
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/63_geomatica_2023_24_indiv.pdf,geomatica
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/64_ingenieria_aeroespacial_2023_24_indiv.pdf,ingenieria aeroespacial
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/65_agricola_alimentaria_forestal_2023_24_indiv.pdf,ingenieria agricola / alimentaria / forestal
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/66_ambiental_y_quimica_2023_24_indiv.pdf,ingenieria ambiental y quimica
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/67_biomedica_2023_24_indiv.pdf,"la salud y en seres vivos; verifica normas de seguridad biologica, microbiolo- gica, mecanica, electrica y sobre radiaciones en general y realiza peritajes y tasaciones re - lacionadas con los incisos anteriores.area de ingenieria biomedica"
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/68_civil_2023_24_indiv.pdf,ingenieria civil
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/69_ciencias_transporte_2023_24_indiv.pdf,(no encontrado)
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/70_industrial_2023_24_indiv.pdf,ingenieria industrial
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/71_energia_2023_24_indiv.pdf,"la ciencia y la ingenieria de la energia y particularmente,en las tecnologias para una mayor eficiencia en la conversion y utilizacion de la energia, son hoy dia exigencias imperio- sas para hacer frente al problema de un uso sostenible de la energia. los objetivos son: formar profesionales en el area de la ingenieria de los procesos energe- ticos desde las fuentes de energia y su gene - racion hasta sus distintas aplicaciones, sumi- nistrando, ademas, la formacion precisa para desarrollar tecnologias y sistemas eficientes y sostenibles; capacitar para conocer en detalle las diversas tendencias en este campo como: las energias solar y eolica en sus diversas for - mas, la energia nuclear, la cogeneracion (elec- tricidad y calor), centrales termicas, ingenieria nuclear, combustibles fosiles, energias reno- vables y gestion de mercados energeticos, todo ello desde una perspectiva medioam- biental y de sostenibilidad.salidas profesionales este profesional podra trabajar en ingenierias, empresas con utilizacion intensiva de ener - gia, empresas productoras y revenedores de energia, ejercicio de actividades de r+d+y a las empresas, centros y grupos de busqueda cientifica y tecnologica tanto publicos como privados, administraciones locales, autonomi- cas y estatales, ejercicio de la docencia, tanto en ensenanza secundaria como universitaria. este ingeniero puede desarrollar su activi - dad a partir de la creacion de una empresa propia, trabajando para otras empresas de servicios o consultoria, en la administracion publica estatal, municipal o autonomica, y en la docencia. las perspectivas laborales son muy buenas, sobre todo en los sectores in- formatico, quimico y energetico.area de ingenieria de la energia"
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/72_matematicas_2023_24_indiv.pdf,ingenieria matematica
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/73_materiales_2023_24_indiv.pdf,"influencia de la ingenieria de mate - riales abarca a todos los procesos de produc- cion, desde el punto de vista de los materiales y tambien la maquinaria y el proceso de fabri- cacion de los mismos. los profesionales formados en esta disciplina tienen el conocimiento de las propiedades de los materiales para su adecuada seleccion y transformacion y se pueden especializar en ramas especificas como: materiales para el diseno de maquinas, equipo e instalaciones; sintesis y procesos especiales de materiales; materiales para la construccion; materiales para sectores industriales especificos; recu- peracion y reciclado de materiales; diseno y prototipo de nuevos materiales. las salidas profesionales en el sector privado se concentran en aquellas industrias en las que los materiales, ya sea por su seleccion, tratamiento y/o procesado, constituyen un principio basico de sus productos como las industrias mecanicas, electricas, quimicas, metalurgicas. tambien en la industria del plastico, la fundicion, ceramica, juguetes, muebles, vidrio, entre muchas otras. area de ingenieria de materiales"
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/74_telecomunicaciones_2023_24_indiv.pdf,ingenieria de telecomunicacion
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/75_informatica_2023_24_indiv.pdf,"investigacion especifica, con teorias y metodos concretos y una co- munidad cientifica en torno a asociaciones, conferencias y revistas cientificas. la demanda de ingenieros de computadores con experiencia en el diseno e implementa- cion de sistemas basados en microprocesa -area de ingenieria informatica"
