universidad,grado,grupo,nota,año,convocatoria
Universidad Complutense De Madrid,Historia,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Historia,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Historia,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Historia del Arte,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Historia del Arte,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Historia del Arte,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Historia del Arte,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Historia del Arte,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Lenguas Modernas y sus Literaturas,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Lenguas Modernas y sus Literaturas,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Lenguas Modernas y sus Literaturas,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Lenguas Modernas y sus Literaturas,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Lenguas Modernas y sus Literaturas,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Lingüística y Lenguas Aplicadas,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Lingüística y Lenguas Aplicadas,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Lingüística y Lenguas Aplicadas,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Lingüística y Lenguas Aplicadas,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Lingüística y Lenguas Aplicadas,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Literatura General y Comparada,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Literatura General y Comparada,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Literatura General y Comparada,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Literatura General y Comparada,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Literatura General y Comparada,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Musicología,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Musicología,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Musicología,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Musicología,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Musicología,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Traducción e Interpretación,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Traducción e Interpretación,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Traducción e Interpretación,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Traducción e Interpretación,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Traducción e Interpretación,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Administración y Dirección de Empresas,Grupo 1,9.564,2025,ordinaria
Universidad Complutense De Madrid,Administración y Dirección de Empresas,Grupo 2,6.99,2025,ordinaria
Universidad Complutense De Madrid,Administración y Dirección de Empresas,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Administración y Dirección de Empresas,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Administración y Dirección de Empresas,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Administración y Dirección de Empresas (en inglés),Grupo 1,10.714,2025,ordinaria
Universidad Complutense De Madrid,Administración y Dirección de Empresas (en inglés),Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Administración y Dirección de Empresas (en inglés),Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Administración y Dirección de Empresas (en inglés),Grupo 4,6.88,2025,ordinaria
Universidad Complutense De Madrid,Administración y Dirección de Empresas (en inglés),Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Antropología Social y Cultural,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Antropología Social y Cultural,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Antropología Social y Cultural,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Antropología Social y Cultural,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Antropología Social y Cultural,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Ciencia de los Datos Aplicada,Grupo 1,10.937,2025,ordinaria
Universidad Complutense De Madrid,Ciencia de los Datos Aplicada,Grupo 2,8.76,2025,ordinaria
Universidad Complutense De Madrid,Ciencia de los Datos Aplicada,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Ciencia de los Datos Aplicada,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Ciencia de los Datos Aplicada,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Ciencias Políticas,Grupo 1,5.778,2025,ordinaria
Universidad Complutense De Madrid,Ciencias Políticas,Grupo 2,7.54,2025,ordinaria
Universidad Complutense De Madrid,Ciencias Políticas,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Ciencias Políticas,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Ciencias Políticas,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Comercio,Grupo 1,8.150,2025,ordinaria
Universidad Complutense De Madrid,Comercio,Grupo 2,6.60,2025,ordinaria
Universidad Complutense De Madrid,Comercio,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Comercio,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Comercio,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Comunicación Audiovisual,Grupo 1,9.544,2025,ordinaria
Universidad Complutense De Madrid,Comunicación Audiovisual,Grupo 2,9.63,2025,ordinaria
Universidad Complutense De Madrid,Comunicación Audiovisual,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Comunicación Audiovisual,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Comunicación Audiovisual,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Criminología,Grupo 1,11.233,2025,ordinaria
Universidad Complutense De Madrid,Criminología,Grupo 2,8.14,2025,ordinaria
Universidad Complutense De Madrid,Criminología,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Criminología,Grupo 4,6.75,2025,ordinaria
Universidad Complutense De Madrid,Criminología,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Derecho,Grupo 1,8.439,2025,ordinaria
Universidad Complutense De Madrid,Derecho,Grupo 2,7.16,2025,ordinaria
Universidad Complutense De Madrid,Derecho,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Derecho,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Derecho,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Economía,Grupo 1,8.800,2025,ordinaria
Universidad Complutense De Madrid,Economía,Grupo 2,6.65,2025,ordinaria
Universidad Complutense De Madrid,Economía,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Economía,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Economía,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Economía (en inglés),Grupo 1,9.545,2025,ordinaria
Universidad Complutense De Madrid,Economía (en inglés),Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Economía (en inglés),Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Economía (en inglés),Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Economía (en inglés),Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Educación Social,Grupo 1,8.500,2025,ordinaria
Universidad Complutense De Madrid,Educación Social,Grupo 2,7.62,2025,ordinaria
Universidad Complutense De Madrid,Educación Social,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Educación Social,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Educación Social,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estadística Aplicada,Grupo 1,8.878,2025,ordinaria
Universidad Complutense De Madrid,Estadística Aplicada,Grupo 2,7.95,2025,ordinaria
Universidad Complutense De Madrid,Estadística Aplicada,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Estadística Aplicada,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estadística Aplicada,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,"Finanzas, Banca y Seguros",Grupo 1,9.420,2025,ordinaria
Universidad Complutense De Madrid,"Finanzas, Banca y Seguros",Grupo 2,7.78,2025,ordinaria
Universidad Complutense De Madrid,"Finanzas, Banca y Seguros",Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,"Finanzas, Banca y Seguros",Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,"Finanzas, Banca y Seguros",Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Geografía y Ordenación del Territorio,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Geografía y Ordenación del Territorio,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Geografía y Ordenación del Territorio,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Geografía y Ordenación del Territorio,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Geografía y Ordenación del Territorio,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Gestión y Administración Pública,Grupo 1,5.228,2025,ordinaria
